2024-05-28 11:08:50 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:08:50 | INFO | stdout | INFO:     127.0.0.1:47126 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:09:35 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:09:35 | INFO | stdout | INFO:     127.0.0.1:47116 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:10:20 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:10:20 | INFO | stdout | INFO:     127.0.0.1:55978 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:11:05 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:11:05 | INFO | stdout | INFO:     127.0.0.1:52204 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:11:50 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:11:50 | INFO | stdout | INFO:     127.0.0.1:52618 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:12:35 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:12:35 | INFO | stdout | INFO:     127.0.0.1:50868 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:13:20 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:13:20 | INFO | stdout | INFO:     127.0.0.1:58098 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:13:44 | INFO | stdout | INFO:     127.0.0.1:49650 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:13:44 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
2024-05-28 11:13:44 | INFO | stdout | INFO:     127.0.0.1:49662 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:14:05 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:14:05 | INFO | stdout | INFO:     127.0.0.1:60356 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:14:32 | INFO | stdout | INFO:     127.0.0.1:33522 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:14:32 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
2024-05-28 11:14:32 | INFO | stdout | INFO:     127.0.0.1:33528 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:14:50 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:14:50 | INFO | stdout | INFO:     127.0.0.1:36730 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:15:35 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:15:35 | INFO | stdout | INFO:     127.0.0.1:53140 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:16:01 | INFO | stdout | INFO:     127.0.0.1:57574 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:16:01 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
2024-05-28 11:16:01 | INFO | stdout | INFO:     127.0.0.1:57590 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:16:20 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:16:20 | INFO | stdout | INFO:     127.0.0.1:43056 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:16:25 | INFO | stdout | INFO:     127.0.0.1:43064 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:16:25 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
2024-05-28 11:16:25 | INFO | stdout | INFO:     127.0.0.1:43066 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:17:05 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:17:05 | INFO | stdout | INFO:     127.0.0.1:57626 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:17:50 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:17:50 | INFO | stdout | INFO:     127.0.0.1:51982 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:18:35 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:18:35 | INFO | stdout | INFO:     127.0.0.1:58166 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:19:02 | INFO | stdout | INFO:     127.0.0.1:43712 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:19:02 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
2024-05-28 11:19:02 | INFO | stdout | INFO:     127.0.0.1:43722 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-05-28 11:19:20 | INFO | controller | Receive heart beat. http://127.0.0.1:20002
2024-05-28 11:19:20 | INFO | stdout | INFO:     127.0.0.1:51790 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-28 11:19:31 | INFO | stdout | INFO:     127.0.0.1:35784 - "POST /list_models HTTP/1.1" 200 OK
2024-05-28 11:19:31 | INFO | controller | names: ['http://127.0.0.1:20002'], queue_lens: [0.0], ret: http://127.0.0.1:20002
